"binomial_name","biofilm_forming","halophilic","metabolism","motile","pathogen","shape",,"spore_forming"
"abiotrophia_defectiva","False","False","unknown","motile","False",,,"False"
"acanthamoeba_polyphaga_mimivirus","False","False","unknown","motile","False",,,"False"
"acetobacter_aceti","False","False","aerobic","motile","False",,,"False"
"acidianus_bottle_shaped_virus","False","False","unknown","motile","False",,,"False"
"acidianus_rod_shaped_virus_1","False","False","unknown","motile","False","rod",,"False"
"acinetobacter_baumannii","False","False","aerobic","motile","True",,,"False"
"actinobacillus_minor","False","False","obligate-anaerobic","motile","False","rod",,"True"
"actinobacillus_pleuropneumoniae","False","False","unknown","motile","False",,,"False"
"aeromonas_hydrophila","False","False","anaerobic","motile","True","rod",,"False"
"aeropyrum_pernix","False","False","anaerobic","motile","False","sphere",,"False"
"agrobacterium_albertimagni","False","False","unknown","motile","True","rod",,"False"
"agrobacterium_phage_7_7_1","False","False","unknown","motile","False",,,"False"
"agrobacterium_tumefaciens","False","False","unknown","motile","False",,,"False"
"alcaligenes_faecalis","False","False","unknown","motile","True",,,"False"
"alcanivorax_borkumensis","True","True","anaerobic|aerobic|unknown","motile","True","rod:flagella",,"False"
"alphapapillomavirus_3","False","False","unknown","motile","False",,,"False"
"anabaena_variabilis","False","False","unknown","motile","False",,,"False"
"aquareovirus_a","False","False","unknown","motile","False",,,"False"
"aquifex_aeolicus","False","False","unknown","motile","False",,,"False"
"archaeoglobus_fulgidus","True","False","anaerobic","motile","False","sphere",,"False"
"arthrobacter_aurescens","False","False","obligate-anaerobic","motile","False",,,"False"
"arthrospira_maxima","False","False","anaerobic","motile","False",,,"False"
"aspergillus_flavus","False","False","unknown","motile","True",,,"False"
"aspergillus_fumigatus","False","False","unknown","motile","False",,,"False"
"avian_paramyxovirus_6","False","False","unknown","motile","True",,,"False"
"babesia_bovis","False","False","unknown","motile","True",,,"False"
"bacillus_amyloliquefaciens","False","False","unknown","motile","False",,,"False"
"bacillus_anthracis","False","False","aerobic","motile","True","rod",,"True"
